Column2	Column11	Column1	Column2	Column4	Description	Cluster	Tissue-enriched expression	High expression
comp143518_c1_seq3	4.00E-82	AM863560.p.cg.6	CGI_10014475	AM863560	(sp:Q7ZVC2) Clusterin-associated protein 1 homolog OS=Danio rerio GN=cluap1 PE=2 SV=2	7		#N/A
comp144262_c1_seq8	2.00E-117	AM863520.p.cg.6	CGI_10024442	AM863520	(sp:Q5R416) Catenin alpha-2 OS=Pongo abelii GN=CTNNA2 PE=2 SV=3	3		#N/A
comp122176_c0_seq1	3.00E-67	AM855687.p.cg.6	CGI_10000633	AM855687	(sp:P61959) Small ubiquitin-related modifier 2 OS=Rattus norvegicus GN=Sumo2 PE=1 SV=1	9		#N/A
comp135745_c0_seq1	1.00E-63	AM862973.p.cg.6	CGI_10024836	AM862973	(sp:Q9QYE0) Zinc finger protein PLAG1 OS=Mus musculus GN=Plag1 PE=2 SV=1	9		#N/A
comp117801_c0_seq1	3.00E-80	CU987737.p.cg.6	CGI_10014660	CU987737	(sp:Q3SZR5) UPF0573 protein C2orf70 homolog OS=Bos taurus PE=2 SV=1	5		Labial palps and gills
comp143111_c1_seq1	2.00E-99	AM859520.p.cg.6	CGI_10015825	AM859520	(sp:P30664) DNA replication licensing factor mcm4-B OS=Xenopus laevis GN=mcm4-B PE=1 SV=3	9		#N/A
comp136546_c0_seq2	2.00E-93	AM868009.p.cg.6	CGI_10027759	AM868009	(sp:Q8VBV4) F-box/WD repeat-containing protein 7 OS=Mus musculus GN=Fbxw7 PE=1 SV=1	3		#N/A
comp138574_c1_seq1	9.00E-116	AM864177.p.cg.6	CGI_10026892	AM864177	(sp:Q68FX0) Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial OS=Rattus norvegicus GN=Idh3B PE=2 SV=1	8	male gonad	#N/A
comp140126_c0_seq2	1.00E-139	AM869290.p.cg.6	CGI_10009216	AM869290	(sp:P12370) cAMP-dependent protein kinase catalytic subunit OS=Drosophila melanogaster GN=Pka-C1 PE=1 SV=3	6		#N/A
comp137961_c2_seq3	2.00E-159	AM855102.p.cg.6	CGI_10010586	AM855102	(sp:Q9DAK2) Parkin coregulated gene protein homolog OS=Mus musculus GN=Pacrg PE=2 SV=1	5		Labial palps and gills
comp142515_c0_seq2	0	CU683354.p.cg.6	CGI_10003110	CU683354	(sp:P18091) Alpha-actinin, sarcomeric OS=Drosophila melanogaster GN=Actn PE=2 SV=2	1		Adductor muscle
comp136486_c0_seq2	2.00E-80	AM863722.p.cg.6	CGI_10010305	AM863722	(sp:Q3MHN0) Proteasome subunit beta type-6 OS=Bos taurus GN=PSMB6 PE=1 SV=1	8		#N/A
comp143850_c0_seq23	2.00E-131	CU995306.p.cg.6	CGI_10018619	CU995306	(sp:P48380) Transcription factor RFX3 OS=Homo sapiens GN=RFX3 PE=2 SV=2	7		#N/A
comp137929_c0_seq1	9.00E-92	AM854229.p.cg.6	CGI_10026510	AM854229	(sp:O44437) Small nuclear ribonucleoprotein Sm D3 OS=Drosophila melanogaster GN=SmD3 PE=1 SV=1	9		#N/A
comp122083_c0_seq1	1.00E-76	AM854428.p.cg.6	CGI_10020575	AM854428	(sp:P62870) Transcription elongation factor B polypeptide 2 OS=Rattus norvegicus GN=Tceb2 PE=1 SV=1	6		#N/A
comp136738_c2_seq4	6.00E-87	AM868587.p.cg.6	CGI_10021903	AM868587	(sp:P14100) Calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1A OS=Bos taurus GN=PDE1A PE=1 SV=3	5	male gonad	#N/A
comp141725_c0_seq1	2.00E-69	CU682645.p.cg.6	CGI_10011211	CU682645	(sp:P67963) Casein kinase I isoform alpha OS=Xenopus laevis GN=csnk1a1 PE=2 SV=1	7		#N/A
comp142462_c1_seq1	2.00E-93	AM860311.p.cg.6	CGI_10011025	AM860311	(sp:Q9JLI7) Sperm-associated antigen 6 OS=Mus musculus GN=Spag6 PE=1 SV=1	5		Labial palps and gills
