Pgen-contig,Hit-evalue,Hit-Entry,Hit-Gene ontology (GO),Hit-Protein names,Hit-Organism
Pgenerosa-v1_contig_1,1.00E-06,P98074,integral to membrane; proteolysis; scavenger receptor activity; serine-type endopeptidase activity,Enteropeptidase (EC 3.4.21.9) (Enterokinase) (Serine protease 7) (Transmembrane protease serine 15) [Cleaved into: Enteropeptidase non-catalytic mini chain; Enteropeptidase non-catalytic heavy chain; Enteropeptidase catalytic light chain],Sus scrofa (Pig)
Pgenerosa-v1_contig_10000,1.00E-46,P63100,calcium ion binding; cytosol; phosphoprotein phosphatase activity; protein dephosphorylation,Calcineurin subunit B type 1 (Protein phosphatase 2B regulatory subunit 1) (Protein phosphatase 3 regulatory subunit B alpha isoform 1),Rattus norvegicus (Rat)
Pgenerosa-v1_contig_10001,1.00E-45,O83041,aminopeptidase activity; cytoplasm; proteolysis,Probable proline iminopeptidase (PIP) (EC 3.4.11.5) (Prolyl aminopeptidase) (PAP),Leptolyngbya boryana (Plectonema boryanum)
Pgenerosa-v1_contig_10006,1.00E-37,Q9NBX4,"RNA binding; RNA-dependent DNA replication; RNA-directed DNA polymerase activity; transposition, DNA-mediated",Probable RNA-directed DNA polymerase from transposon X-element (EC 2.7.7.49) (Reverse transcriptase),Drosophila melanogaster (Fruit fly)
Pgenerosa-v1_contig_10012,1.00E-11,Q6PF15,,Kelch-like protein 35,Homo sapiens (Human)
Pgenerosa-v1_contig_10016,3.00E-49,Q96Q05,Golgi apparatus; cell differentiation; endoplasmic reticulum,Trafficking protein particle complex subunit 9 (NIK- and IKBKB-binding protein) (Tularik gene 1 protein),Homo sapiens (Human)
Pgenerosa-v1_contig_10021,1.00E-63,Q60974,"CD4-positive, CD25-positive, alpha-beta regulatory T cell differentiation; cholesterol homeostasis; chromatin binding; chromatin modification; circadian regulation of gene expression; cytosol; definitive erythrocyte differentiation; histone deacetylase regulator activity; negative regulation of phosphatidylinositol 3-kinase cascade; negative regulation of transcription from RNA polymerase II promoter; positive regulation of histone deacetylation; regulation of multicellular organism growth; retinoid X receptor binding; sequence-specific DNA binding; sequence-specific DNA binding transcription factor activity; thalamus development; thyroid hormone receptor binding; transcription corepressor activity; transcription factor complex; transcription regulatory region DNA binding; transcription, DNA-dependent; transcriptional repressor complex",Nuclear receptor corepressor 1 (N-CoR) (N-CoR1) (Retinoid X receptor-interacting protein 13) (RIP13),Mus musculus (Mouse)
Pgenerosa-v1_contig_10027,1.00E-77,P09215,ATP binding; aging; apoptotic process; aspartate transport; calcium-independent protein kinase C activity; cell cycle; cellular response to glucose starvation; cellular response to insulin stimulus; cellular senescence; collagen metabolic process; cytosol; defense response to bacterium; endoplasmic reticulum; enzyme activator activity; intracellular signal transduction; metal ion binding; mitochondrion; negative regulation of MAP kinase activity; negative regulation of actin filament polymerization; negative regulation of filopodium assembly; negative regulation of glial cell apoptotic process; negative regulation of insulin receptor signaling pathway; negative regulation of peptidyl-tyrosine phosphorylation; negative regulation of platelet aggregation; neutrophil activation; nucleus; peptidyl-threonine phosphorylation; perinuclear region of cytoplasm; plasma membrane; positive regulation of MAP kinase activity; positive regulation of apoptotic process; positive regulation of ceramide biosynthetic process; positive regulation of glucose import; positive regulation of glucosylceramide catabolic process; positive regulation of phospholipid scramblase activity; positive regulation of protein dephosphorylation; positive regulation of response to DNA damage stimulus; positive regulation of sphingomyelin catabolic process; positive regulation of superoxide anion generation; protein autophosphorylation; response to amino acid stimulus; response to drug; response to ethanol; response to glucose stimulus; response to heat; response to hydrogen peroxide; response to hypoxia; response to mechanical stimulus; response to organic cyclic compound; termination of signal transduction,Protein kinase C delta type (EC 2.7.11.13) (nPKC-delta) [Cleaved into: Protein kinase C delta type regulatory subunit; Protein kinase C delta type catalytic subunit (Sphingosine-dependent protein kinase-1) (SDK1)],Rattus norvegicus (Rat)
Pgenerosa-v1_contig_10028,1.00E-71,P22129,"GDP binding; GTP binding; GTPase activity; cell junction; cellular response to acidity; constitutive secretory pathway; insulin secretion involved in cellular response to glucose stimulus; melanosome transport; phagocytic vesicle; phagocytic vesicle membrane; receptor recycling; recycling endosome membrane; regulated secretory pathway; regulation of anion transport; regulation of endocytic recycling; regulation of protein localization to cell surface; retrograde transport, endosome to plasma membrane; small GTPase mediated signal transduction; synaptic vesicle; synaptic vesicle membrane; transferrin transport",Ras-related protein Rab-11B (ORA3),Diplobatis ommata (Ocellated electric ray) (Discopyge ommata)
Pgenerosa-v1_contig_10029,3.00E-22,B5X2B8,GTP binding; mitochondrial inner membrane; mitochondrial matrix; rRNA binding; ribosomal small subunit assembly; ribosomal small subunit binding,"GTPase Era, mitochondrial (ERA-like protein 1)",Salmo salar (Atlantic salmon)
Pgenerosa-v1_contig_1003,0,P18091,Z disc; actin binding; actin cytoskeleton reorganization; calcium ion binding; cytoskeletal anchoring at plasma membrane; flight behavior; focal adhesion; sarcomere organization,"Alpha-actinin, sarcomeric (F-actin cross-linking protein)",Drosophila melanogaster (Fruit fly)
Pgenerosa-v1_contig_10031,1.00E-41,,,,
Pgenerosa-v1_contig_10032,4.00E-15,A2AL36,cell cycle; cell division; cytoplasm; microtubule organizing center,Centriolin (Centrosomal protein 1) (Centrosomal protein of 110 kDa) (Cep110),Mus musculus (Mouse)
Pgenerosa-v1_contig_10039,4.00E-13,Q8IZJ3,extracellular space; negative regulation of endopeptidase activity; plasma membrane; serine-type endopeptidase inhibitor activity,C3 and PZP-like alpha-2-macroglobulin domain-containing protein 8,Homo sapiens (Human)
Pgenerosa-v1_contig_1004,1.00E-137,Q8R3P7,cell projection organization; cilium; nucleus,Clusterin-associated protein 1,Mus musculus (Mouse)
Pgenerosa-v1_contig_10049,5.00E-48,Q9WVM7,apoptotic process; cell differentiation; cytosol; multicellular organismal development; nucleus; translation,Aminoacyl tRNA synthase complex-interacting multifunctional protein 2 (Multisynthase complex auxiliary component p38) (Protein JTV-1),Cricetulus griseus (Chinese hamster) (Cricetulus barabensis griseus)
Pgenerosa-v1_contig_1005,1.00E-12,A1ZA47,Z disc; actin cytoskeleton; muscle alpha-actinin binding; muscle tendon junction; myofibril assembly; regulation of cell-matrix adhesion; zinc ion binding,PDZ and LIM domain protein Zasp (Z band alternatively spliced PDZ-motif protein),Drosophila melanogaster (Fruit fly)
Pgenerosa-v1_contig_10051,3.00E-25,Q24524,actin cytoskeleton; actin filament binding; antennal morphogenesis; chaeta morphogenesis; cuticle pattern formation; cytoplasm; dendrite development; establishment or maintenance of cell polarity; filopodium assembly; hemocyte migration; imaginal disc-derived wing hair organization; microvillar actin bundle assembly; neuron projection; neuron projection morphogenesis; neuronal cell body; oogenesis; wound healing,Protein singed,Drosophila melanogaster (Fruit fly)
Pgenerosa-v1_contig_10053,6.00E-16,Q6PAJ1,ATP binding; Rac GTPase activator activity; Rho guanyl-nucleotide exchange factor activity; actin cytoskeleton organization; brain development; cytosol; inner ear morphogenesis; intracellular signal transduction; negative regulation of cell migration; negative regulation of inflammatory response; negative regulation of neutrophil degranulation; neuromuscular process controlling balance; phospholipid binding; plasma membrane; positive regulation of phagocytosis; protein serine/threonine kinase activity; regulation of cell cycle; response to lipopolysaccharide,Breakpoint cluster region protein (EC 2.7.11.1),Mus musculus (Mouse)
Pgenerosa-v1_contig_10056,7.00E-65,Q5TC84,membrane; receptor activity,Opioid growth factor receptor-like protein 1,Homo sapiens (Human)
Pgenerosa-v1_contig_10057,1.00E-144,Q9Y4B6,cytoplasm; modulation by virus of host morphology or physiology; nucleus; protein ubiquitination,Protein VPRBP (DDB1- and CUL4-associated factor 1) (HIV-1 Vpr-binding protein) (VprBP) (Vpr-interacting protein),Homo sapiens (Human)
Pgenerosa-v1_contig_10059,2.00E-106,Q8VEE0,metal ion binding; pentose-phosphate shunt; ribulose-phosphate 3-epimerase activity,Ribulose-phosphate 3-epimerase (EC 5.1.3.1) (Ribulose-5-phosphate-epimerase),Mus musculus (Mouse)
Pgenerosa-v1_contig_1006,0,B6ZLK2,"ATP binding; DNA binding; chromosome, centromeric region; helicase activity; nucleus; regulation of transcription, DNA-dependent; transcription, DNA-dependent",Chromodomain-helicase-DNA-binding protein 1 (CHD-1) (EC 3.6.4.12) (ATP-dependent helicase CHD1),Gallus gallus (Chicken)
Pgenerosa-v1_contig_10060,7.00E-134,O61307,R7 cell development; cell adhesion; cell junction; chaeta development; compound eye corneal lens development; cytoplasm; cytoplasmic microtubule organization; filamin binding; integral to plasma membrane; maintenance of presynaptic active zone structure; motor neuron axon guidance; neuromuscular junction; neuromuscular synaptic transmission; neuron projection; neuronal cell body; positive regulation of heterotypic cell-cell adhesion; positive regulation of locomotion; postsynaptic membrane; postsynaptic membrane organization; presynaptic membrane organization; protein heterodimerization activity; protein homodimerization activity; proteinaceous extracellular matrix; regulation of cell shape; regulation of homotypic cell-cell adhesion; regulation of terminal button organization; synaptic growth at neuromuscular junction; synaptic target attraction; synaptic vesicle membrane organization,Teneurin-m (Tenm) (Odd Oz protein) (Tenascin-like protein),Drosophila melanogaster (Fruit fly)
Pgenerosa-v1_contig_10061,4.00E-19,Q5M9N0,,Coiled-coil domain-containing protein 158,Homo sapiens (Human)
Pgenerosa-v1_contig_10062,4.00E-121,Q5T6V5,,UPF0553 protein C9orf64,Homo sapiens (Human)
Pgenerosa-v1_contig_10063,3.00E-43,Q9R0A8,HAUS complex; cell division; centrosome organization; cytoplasm; microtubule; microtubule organizing center; mitosis; spindle assembly; spindle pole,HAUS augmin-like complex subunit 1 (Coiled-coil domain-containing protein 5),Rattus norvegicus (Rat)
